181  0
    1.000000     0.000000
    0.999695     0.000094
    0.998782     0.000375
    0.997261     0.000843
    0.995134     0.001495
    0.992404     0.002327
    0.989074     0.003326
    0.985148     0.004479
    0.980631     0.005772
    0.975528     0.007190
    0.969846     0.008725
    0.963592     0.010378
    0.956773     0.012154
    0.949397     0.014062
    0.941474     0.016108
    0.933013     0.018269
    0.924024     0.020569
    0.914519     0.023004
    0.904509     0.025574
    0.894006     0.028275
    0.883023     0.031103
    0.871573     0.034053
    0.859670     0.037116
    0.847330     0.040285
    0.834566     0.043554
    0.821394     0.046916
    0.807831     0.050357
    0.793893     0.053863
    0.779597     0.057423
    0.764960     0.061022
    0.750001     0.064648
    0.734737     0.068281
    0.719187     0.071908
    0.703369     0.075517
    0.687304     0.079087
    0.671011     0.082609
    0.654510     0.086068
    0.637820     0.089444
    0.620962     0.092717
    0.603957     0.095867
    0.586826     0.098880
    0.569588     0.101743
    0.552266     0.104436
    0.534880     0.106940
    0.517451     0.109244
    0.500002     0.111331
    0.482552     0.113179
    0.465124     0.114781
    0.447738     0.116133
    0.430416     0.117187
    0.413178     0.117901
    0.396046     0.118227
    0.379041     0.118144
    0.362184     0.117687
    0.345494     0.116914
    0.328992     0.115862
    0.312699     0.114555
    0.296634     0.113003
    0.280817     0.111221
    0.265267     0.109223
    0.250003     0.107020
    0.235043     0.104626
    0.220406     0.102053
    0.206110     0.099307
    0.192172     0.096400
    0.178609     0.093344
    0.165438     0.090148
    0.152674     0.086825
    0.140372     0.083395
    0.128452     0.079843
    0.116977     0.076192
    0.105965     0.072452
    0.095509     0.068672
    0.085499     0.064811
    0.075983     0.060893
    0.066988     0.056938
    0.058531     0.052958
    0.050619     0.048963
    0.043218     0.044945
    0.036411     0.040956
    0.030181     0.037002
    0.024489     0.033062
    0.019376     0.029182
    0.014863     0.025376
    0.010916     0.021615
    0.007593     0.017957
    0.004876     0.014368
    0.002735     0.010761
    0.001222     0.007211
    0.000311     0.003666
    0.000000     0.000000
    0.000307    -0.003637
    0.001220    -0.007243
    0.002732    -0.010675
    0.004880    -0.013860
    0.007598    -0.016729
    0.010902    -0.019413
    0.014875    -0.022020
    0.019379    -0.024479
    0.024493    -0.026857
    0.030190    -0.029158
    0.036414    -0.031372
    0.043197    -0.033521
    0.050610    -0.035632
    0.058519    -0.037670
    0.066988    -0.039657
    0.075979    -0.041581
    0.085485    -0.043440
    0.095495    -0.045231
    0.105998    -0.046953
    0.116981    -0.048610
    0.128431    -0.050203
    0.140333    -0.051724
    0.152674    -0.053167
    0.165438    -0.054528
    0.178609    -0.055802
    0.192172    -0.056988
    0.206110    -0.058081
    0.220406    -0.059070
    0.235043    -0.059948
    0.250003    -0.060716
    0.265267    -0.061367
    0.280817    -0.061891
    0.296634    -0.062276
    0.312699    -0.062516
    0.328992    -0.062597
    0.345494    -0.062509
    0.362184    -0.062236
    0.379041    -0.061747
    0.396046    -0.060987
    0.413178    -0.059902
    0.430416    -0.058504
    0.447738    -0.056854
    0.465124    -0.055002
    0.482552    -0.052989
    0.500002    -0.050834
    0.517451    -0.048552
    0.534880    -0.046158
    0.552266    -0.043676
    0.569588    -0.041123
    0.586826    -0.038513
    0.603957    -0.035869
    0.620962    -0.033204
    0.637820    -0.030531
    0.654510    -0.027868
    0.671011    -0.025237
    0.687304    -0.022657
    0.703369    -0.020140
    0.719187    -0.017694
    0.734737    -0.015329
    0.750001    -0.013059
    0.764960    -0.010897
    0.779597    -0.008851
    0.793893    -0.006932
    0.807831    -0.005148
    0.821394    -0.003507
    0.834566    -0.002016
    0.847330    -0.000672
    0.859670     0.000514
    0.871573     0.001549
    0.883023     0.002430
    0.894006     0.003166
    0.904509     0.003758
    0.914519     0.004197
    0.924024     0.004492
    0.933013     0.004655
    0.941474     0.004696
    0.949397     0.004588
    0.956773     0.004378
    0.963592     0.004070
    0.969846     0.003673
    0.975528     0.003203
    0.980631     0.002683
    0.985148     0.002146
    0.989074     0.001627
    0.992404     0.001153
    0.995134     0.000746
    0.997261     0.000422
    0.998782     0.000188
    0.999695     0.000047
    1.000000     0.000000
