"arc_length","Density","Eddy_Viscosity","Heat_Flux","Laminar_Viscosity","Omega","Points_Magnitude","Points_X","Points_Y","Points_Z","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity_Magnitude","Residual_Velocity_X","Residual_Velocity_Y","Residual_Velocity_Z","Skin_Friction_Coefficient_Magnitude","Skin_Friction_Coefficient_X","Skin_Friction_Coefficient_Y","Skin_Friction_Coefficient_Z","Turb_Kin_Energy","Velocity_Magnitude","Velocity_X","Velocity_Y","Velocity_Z","Y_Plus","arc_length","vtkValidPointMask","Density","Eddy_Viscosity","Heat_Flux","Laminar_Viscosity","Omega","Points_Magnitude","Points_X","Points_Y","Points_Z","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity_Magnitude","Residual_Velocity_X","Residual_Velocity_Y","Residual_Velocity_Z","Skin_Friction_Coefficient_Magnitude","Skin_Friction_Coefficient_X","Skin_Friction_Coefficient_Y","Skin_Friction_Coefficient_Z","Turb_Kin_Energy","Velocity_Magnitude","Velocity_X","Velocity_Y","Velocity_Z","Y_Plus","arc_length","vtkValidPointMask","Density","Eddy_Viscosity","Heat_Flux","Laminar_Viscosity","Omega","Points_Magnitude","Points_X","Points_Y","Points_Z","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity_Magnitude","Residual_Velocity_X","Residual_Velocity_Y","Residual_Velocity_Z","Skin_Friction_Coefficient_Magnitude","Skin_Friction_Coefficient_X","Skin_Friction_Coefficient_Y","Skin_Friction_Coefficient_Z","Turb_Kin_Energy","Velocity_Magnitude","Velocity_X","Velocity_Y","Velocity_Z","Y_Plus","arc_length","vtkValidPointMask"
0.0004,1,2.50744e-06,0,1.62258e-06,1983.74,0.5,-0.5,0.0004,0,-0.13555,-0.2711,1.44579e-08,1.20531e-10,9.15166e-14,6.08458e-11,6.08454e-11,2.25217e-13,0,0,0,0,0,0.00502338,0.494181,0.494181,2.98309e-05,0,0,0.0004,,1,2.46306e-06,0,1.62258e-06,1932.39,0.150001,-0.15,0.0004,0,-0.187306,-0.374613,9.93175e-09,3.57338e-11,9.31844e-14,2.07756e-11,2.07752e-11,1.2198e-13,0,0,0,0,0,0.00478721,0.476461,0.476461,2.89417e-06,0,0,0.0004,,1,2.53437e-06,0,1.62258e-06,1895.59,0.0004,0,0.0004,0,-0.211378,-0.422757,8.91476e-11,4.36372e-13,1.51808e-15,2.89535e-13,2.89489e-13,-5.17334e-15,0,0,0,0,0,0.00482841,0.487239,0.487231,-0.00293262,0,0,0.0004,
0.00044,1,3.04211e-06,0,1.62258e-06,1765.15,0.5,-0.5,0.00044,0,-0.13555,-0.271099,1.42569e-08,1.2056e-10,1.01228e-13,6.3763e-11,6.37626e-11,2.36522e-13,0,0,0,0,0,0.00536468,0.516685,0.516685,3.45309e-05,0,0,0.00044,,1,3.0055e-06,0,1.62258e-06,1715.68,0.150001,-0.15,0.00044,0,-0.187306,-0.374613,9.06441e-09,3.57617e-11,9.66023e-14,2.16757e-11,2.16753e-11,1.27941e-13,0,0,0,0,0,0.0051291,0.498272,0.498272,3.404e-06,0,0,0.00044,,1,3.08771e-06,0,1.62258e-06,1681.71,0.00044,0,0.00044,0,-0.21131,-0.42262,8.55448e-11,4.60526e-13,1.64437e-15,3.16967e-13,3.16889e-13,-7.03035e-15,0,0,0,0,0,0.00515962,0.50846,0.508452,-0.00295722,0,0,0.00044,
0.00048,1,3.57679e-06,0,1.62258e-06,1546.55,0.5,-0.5,0.00048,0,-0.13555,-0.271099,1.40559e-08,1.20589e-10,1.1094e-13,6.66802e-11,6.66798e-11,2.47828e-13,0,0,0,0,0,0.00570597,0.53919,0.53919,3.92309e-05,0,0,0.00048,,1,3.54793e-06,0,1.62258e-06,1498.97,0.150001,-0.15,0.00048,0,-0.187306,-0.374613,8.19707e-09,3.57896e-11,1.0002e-13,2.25758e-11,2.25754e-11,1.33901e-13,0,0,0,0,0,0.00547098,0.520082,0.520082,3.91383e-06,0,0,0.00048,,1,3.64106e-06,0,1.62258e-06,1467.84,0.00048,0,0.00048,0,-0.211242,-0.422483,8.1942e-11,4.8468e-13,1.77066e-15,3.44404e-13,3.44289e-13,-8.88737e-15,0,0,0,0,0,0.00549083,0.529682,0.529673,-0.00298181,0,0,0.00048,
0.00052,1,4.14661e-06,0,1.62258e-06,1414.21,0.5,-0.5,0.00052,0,-0.135549,-0.271099,1.37385e-08,1.20618e-10,1.18584e-13,6.89399e-11,6.89394e-11,2.57956e-13,0,0,0,0,0,0.00590847,0.556288,0.556288,4.42667e-05,0,0,0.00052,,1,4.13877e-06,0,1.62258e-06,1367.5,0.150001,-0.15,0.00052,0,-0.187306,-0.374613,7.68647e-09,3.58174e-11,1.02101e-13,2.32667e-11,2.32662e-11,1.39464e-13,0,0,0,0,0,0.00567868,0.536553,0.536553,4.49559e-06,0,0,0.00052,,1,4.24483e-06,0,1.62258e-06,1338.61,0.00052,0,0.00052,0,-0.211184,-0.422368,8.13737e-11,5.08891e-13,1.8871e-15,3.71693e-13,3.71547e-13,-1.04148e-14,0,0,0,0,0,0.00569232,0.54567,0.545662,-0.00298951,0,0,0.00052,
0.00056,1,4.71712e-06,0,1.62258e-06,1283.54,0.5,-0.5,0.00056,0,-0.135549,-0.271099,1.34189e-08,1.20646e-10,1.26188e-13,7.11868e-11,7.11863e-11,2.68062e-13,0,0,0,0,0,0.00610828,0.573282,0.573282,4.93092e-05,0,0,0.00056,,1,4.73054e-06,0,1.62258e-06,1237.69,0.150001,-0.15,0.00056,0,-0.187306,-0.374613,7.1828e-09,3.58452e-11,1.04157e-13,2.39535e-11,2.3953e-11,1.45019e-13,0,0,0,0,0,0.00588376,0.55292,0.55292,5.07875e-06,0,0,0.00056,,1,4.84958e-06,0,1.62258e-06,1211.02,0.00056,0,0.00056,0,-0.211127,-0.422254,8.08644e-11,5.33104e-13,2.00336e-15,3.98981e-13,3.98802e-13,-1.19358e-14,0,0,0,0,0,0.00589129,0.561556,0.561548,-0.00299687,0,0,0.00056,
0.0006,1,5.28978e-06,0,1.62258e-06,1163.24,0.5,-0.5,0.0006,0,-0.135549,-0.271098,1.30958e-08,1.20675e-10,1.33428e-13,7.33345e-11,7.33339e-11,2.77959e-13,0,0,0,0,0,0.0062898,0.589471,0.589471,5.44339e-05,0,0,0.0006,,1,5.32865e-06,0,1.62258e-06,1118.12,0.150001,-0.15,0.0006,0,-0.187306,-0.374613,6.71829e-09,3.5873e-11,1.06063e-13,2.46095e-11,2.4609e-11,1.50506e-13,0,0,0,0,0,0.00607113,0.568489,0.568489,5.67864e-06,0,0,0.0006,,1,5.46109e-06,0,1.62258e-06,1093.55,0.0006,0,0.0006,0,-0.211071,-0.422142,8.06023e-11,5.57353e-13,2.11882e-15,4.26292e-13,4.26084e-13,-1.33113e-14,0,0,0,0,0,0.00607325,0.576663,0.576655,-0.00300266,0,0,0.0006,
0.00064,1,5.87082e-06,0,1.62258e-06,1083.24,0.5,-0.5,0.00064,0,-0.135549,-0.271098,1.27594e-08,1.20704e-10,1.39252e-13,7.50965e-11,7.50959e-11,2.87044e-13,0,0,0,0,0,0.00640025,0.602536,0.602536,5.98785e-05,0,0,0.00064,,1,5.95135e-06,0,1.62258e-06,1038.35,0.150001,-0.15,0.00064,0,-0.187306,-0.374613,6.40593e-09,3.59007e-11,1.07392e-13,2.51459e-11,2.51454e-11,1.55732e-13,0,0,0,0,0,0.00618965,0.580954,0.580954,6.34349e-06,0,0,0.00064,,1,6.09884e-06,0,1.62258e-06,1015.37,0.00064,0,0.00064,0,-0.211022,-0.422045,8.13007e-11,5.81745e-13,2.2312e-15,4.53692e-13,4.53472e-13,-1.41215e-14,0,0,0,0,0,0.00618914,0.588742,0.588735,-0.0030023,0,0,0.00064,
0.00068,1,6.45186e-06,0,1.62258e-06,1003.23,0.5,-0.5,0.00068,0,-0.135549,-0.271098,1.24231e-08,1.20733e-10,1.45076e-13,7.68585e-11,7.68579e-11,2.96129e-13,0,0,0,0,0,0.0065107,0.615601,0.615601,6.5323e-05,0,0,0.00068,,1,6.57405e-06,0,1.62258e-06,958.584,0.150002,-0.15,0.00068,0,-0.187306,-0.374613,6.09356e-09,3.59284e-11,1.08721e-13,2.56823e-11,2.56818e-11,1.60958e-13,0,0,0,0,0,0.00630817,0.59342,0.59342,7.00835e-06,0,0,0.00068,,1,6.73659e-06,0,1.62258e-06,937.189,0.00068,0,0.00068,0,-0.210973,-0.421947,8.19991e-11,6.06136e-13,2.34358e-15,4.81091e-13,4.80859e-13,-1.49317e-14,0,0,0,0,0,0.00630504,0.600821,0.600814,-0.00300194,0,0,0.00068,
0.00072,1,7.0329e-06,0,1.62258e-06,923.23,0.500001,-0.5,0.00072,0,-0.135549,-0.271098,1.20867e-08,1.20762e-10,1.50901e-13,7.86205e-11,7.86199e-11,3.05215e-13,0,0,0,0,0,0.00662116,0.628666,0.628666,7.07676e-05,0,0,0.00072,,1,7.19676e-06,0,1.62258e-06,878.815,0.150002,-0.15,0.00072,0,-0.187306,-0.374613,5.78119e-09,3.59562e-11,1.10049e-13,2.62188e-11,2.62182e-11,1.66183e-13,0,0,0,0,0,0.00642669,0.605885,0.605885,7.6732e-06,0,0,0.00072,,1,7.37435e-06,0,1.62258e-06,859.007,0.00072,0,0.00072,0,-0.210925,-0.421849,8.26975e-11,6.30528e-13,2.45596e-15,5.0849e-13,5.08247e-13,-1.57418e-14,0,0,0,0,0,0.00642093,0.612901,0.612893,-0.00300158,0,0,0.00072,
0.00076,1,7.5991e-06,0,1.62258e-06,872.905,0.500001,-0.5,0.00076,0,-0.135549,-0.271097,1.17913e-08,1.20791e-10,1.55329e-13,8.00354e-11,8.00348e-11,3.13442e-13,0,0,0,0,0,0.00667745,0.638964,0.638964,7.67383e-05,0,0,0.00076,,1,7.83225e-06,0,1.62258e-06,828.41,0.150002,-0.15,0.00076,0,-0.187306,-0.374612,5.5715e-09,3.59838e-11,1.10934e-13,2.66489e-11,2.66483e-11,1.71139e-13,0,0,0,0,0,0.00649321,0.615581,0.615581,8.42907e-06,0,0,0.00076,,1,8.02649e-06,0,1.62258e-06,809.686,0.00076,0,0.00076,0,-0.210883,-0.421765,8.36636e-11,6.5514e-13,2.56627e-15,5.36084e-13,5.35856e-13,-1.5664e-14,0,0,0,0,0,0.00648714,0.622287,0.62228,-0.00299748,0,0,0.00076,
