"Density","Eddy_Viscosity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1.1523e-16,0,1.6226e-06,8.678e+05,-0.076297,-0.15259,0,2.3281e-11,0,0,0,0,-0.00063522,0,0,1e-10,0,0,0,0.42387,1,0,0.2,-0.0267,0
1,6.0564e-10,0,1.6226e-06,51360,-0.076306,-0.15261,1.7748e-10,2.3378e-11,-2.5933e-15,1.6012e-12,-4.079e-14,0,0,0,0,1.5589e-05,-0.012377,-1.6816e-05,0,0,1,6.6699e-05,0.2,-0.026633,0
1,1.3927e-08,0,1.6226e-06,9366.8,-0.076306,-0.15261,2.1158e-09,2.3413e-11,-2.0688e-14,3.112e-12,-4.6123e-14,0,0,0,0,0.00012635,-0.022379,-6.1231e-05,0,0,1,0.0001334,0.2,-0.026567,0
1,1.5473e-07,0,1.6226e-06,4074.2,-0.076308,-0.15262,3.7868e-09,2.3447e-11,-8.0096e-14,4.6355e-12,-4.1288e-14,0,0,0,0,0.0005284,-0.029244,-0.00013593,0,0,1,0.0002001,0.2,-0.0265,0
1,6.4465e-07,0,1.6226e-06,2165.5,-0.076312,-0.15262,1.7963e-09,2.3481e-11,-1.6509e-13,6.1128e-12,-2.6914e-14,0,0,0,0,0.0012498,-0.033187,-0.00023311,0,0,1,0.0002668,0.2,-0.026433,0
1,1.6919e-06,0,1.6226e-06,1320.1,-0.076317,-0.15263,-2.543e-09,2.3516e-11,-2.3906e-13,7.4498e-12,-6.8732e-15,0,0,0,0,0.0021705,-0.034684,-0.00034724,0,0,1,0.0003335,0.2,-0.026367,0
1,3.4636e-06,0,1.6226e-06,930.95,-0.076324,-0.15265,-5.417e-09,2.355e-11,-2.8171e-13,8.5638e-12,1.4206e-14,0,0,0,0,0.0030936,-0.034597,-0.00047421,0,0,1,0.0004002,0.2,-0.0263,0
1,5.8208e-06,0,1.6226e-06,710.9,-0.076334,-0.15267,-6.4589e-09,2.3584e-11,-3.0837e-13,9.4726e-12,3.4183e-14,0,0,0,0,0.0039129,-0.033938,-0.00060866,0,0,1,0.0004669,0.2,-0.026233,0
1,8.5249e-06,0,1.6226e-06,562.68,-0.076346,-0.15269,-6.7446e-09,2.3618e-11,-3.2827e-13,1.0259e-11,5.339e-14,0,0,0,0,0.0046567,-0.033066,-0.00074712,0,0,1,0.0005336,0.2,-0.026166,0
1,1.156e-05,0,1.6226e-06,467.66,-0.076359,-0.15272,-6.4868e-09,2.3651e-11,-3.432e-13,1.0928e-11,7.1803e-14,0,0,0,0,0.005321,-0.032058,-0.00088917,0,0,1,0.0006003,0.2,-0.0261,0
