"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          70,      -5.599114978,      -4.795491517,      -5.250507071,       -6.94681005,      -1.049167256
          0,           0,          71,       -5.59688171,      -4.794789297,      -5.247467718,      -6.953280886,      -1.056650844
          0,           0,          72,      -5.593895793,       -4.79407312,      -5.247962466,      -6.959681763,      -1.064212633
          0,           0,          73,      -5.590237618,      -4.793321601,       -5.25178496,      -6.966014237,      -1.071332674
          0,           0,          74,      -5.586008689,      -4.792548485,      -5.258635043,      -6.972269069,      -1.079697234
          0,           0,          75,      -5.581396077,       -4.79172175,      -5.268008275,      -6.978407536,      -1.087727355
          0,           0,          76,      -5.576571933,      -4.790839988,      -5.279335446,      -6.984444739,      -1.095397512
          0,           0,          77,      -5.571671107,      -4.789932707,      -5.291930791,      -6.990399468,      -1.103201169
          0,           0,          78,      -5.566845428,      -4.788984286,      -5.305078018,      -6.996270715,      -1.110451157
          0,           0,          79,      -5.562172773,      -4.788032892,      -5.317912225,      -7.002081965,      -1.117241635
          0,           0,          80,      -5.557694058,       -4.78710793,      -5.329631489,      -7.007839641,      -1.123831105
          0,           0,          81,      -5.553419732,      -4.786226617,      -5.339566476,      -7.013551007,      -1.130172483
          0,           0,          82,      -5.549297785,      -4.785437199,      -5.347265311,      -7.019226264,      -1.136991326
          0,           0,          83,      -5.545290624,      -4.784730128,      -5.352635887,      -7.024856796,      -1.143354771
          0,           0,          84,      -5.541319281,      -4.784130283,      -5.355870508,      -7.030443903,       -1.14980502
          0,           0,          85,      -5.537323685,       -4.78362393,      -5.357446198,       -7.03597964,      -1.156450605
          0,           0,          86,      -5.533243491,      -4.783202347,      -5.357990514,      -7.041461283,      -1.163012035
          0,           0,          87,      -5.529037105,      -4.782843292,      -5.358183105,      -7.046873673,      -1.169468898
          0,           0,          88,      -5.524680344,      -4.782520708,      -5.358662612,      -7.052195498,       -1.17656117
          0,           0,          89,      -5.520169975,      -4.782203884,      -5.359970398,       -7.05741039,      -1.182147823
