"Density","Eddy_Viscosity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1.4809e-05,0,1.6226e-06,207.08,0.012521,0.025042,-3.9305e-08,5.6824e-11,4.8504e-11,3.3951e-09,-9.7054e-12,0,0,0,0,0.0030538,0.41776,-1.6608e-05,0,0,1,0.0016008,1,-0.025099,0
1,1.5778e-05,0,1.6226e-06,196.38,0.012521,0.025042,-6.7488e-08,5.6828e-11,4.9399e-11,3.3841e-09,-1.0357e-11,0,0,0,0,0.0030798,0.42166,-1.9121e-05,0,0,1,0.0016675,1,-0.025032,0
1,1.6765e-05,0,1.6226e-06,187.04,0.012521,0.025041,-8.8577e-08,5.6832e-11,5.033e-11,3.3723e-09,-1.1017e-11,0,0,0,0,0.003104,0.42529,-2.1795e-05,0,0,1,0.0017342,1,-0.024966,0
1,1.7752e-05,0,1.6226e-06,177.7,0.012521,0.025041,-1.0967e-07,5.6836e-11,5.126e-11,3.3604e-09,-1.1677e-11,0,0,0,0,0.0031281,0.42891,-2.4469e-05,0,0,1,0.0018009,1,-0.024899,0
1,1.8739e-05,0,1.6226e-06,168.35,0.01252,0.025041,-1.3075e-07,5.684e-11,5.2191e-11,3.3486e-09,-1.2338e-11,0,0,0,0,0.0031522,0.43253,-2.7143e-05,0,0,1,0.0018676,1,-0.024832,0
1,1.9779e-05,0,1.6226e-06,161.5,0.01252,0.02504,-1.401e-07,5.6845e-11,5.3193e-11,3.3358e-09,-1.3016e-11,0,0,0,0,0.0031732,0.43555,-3.0266e-05,0,0,1,0.0019343,1,-0.024766,0
1,2.0822e-05,0,1.6226e-06,154.84,0.01252,0.02504,-1.4852e-07,5.685e-11,5.4201e-11,3.3229e-09,-1.3695e-11,0,0,0,0,0.0031939,0.43852,-3.3424e-05,0,0,1,0.002001,1,-0.024699,0
1,2.1866e-05,0,1.6226e-06,148.18,0.01252,0.02504,-1.5695e-07,5.6854e-11,5.5209e-11,3.3101e-09,-1.4375e-11,0,0,0,0,0.0032147,0.44149,-3.6582e-05,0,0,1,0.0020677,1,-0.024632,0
1,2.2909e-05,0,1.6226e-06,141.52,0.01252,0.025039,-1.6537e-07,5.6859e-11,5.6217e-11,3.2972e-09,-1.5054e-11,0,0,0,0,0.0032354,0.44446,-3.974e-05,0,0,1,0.0021344,1,-0.024566,0
1,2.3995e-05,0,1.6226e-06,136.28,0.012519,0.025039,-1.6831e-07,5.6864e-11,5.7262e-11,3.2843e-09,-1.5743e-11,0,0,0,0,0.0032545,0.44704,-4.3269e-05,0,0,1,0.0022011,1,-0.024499,0
