"Density","Eddy_Viscosity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1.1523e-16,0,1.6226e-06,8.678e+05,6.9144e-06,1.3829e-05,0,2.6848e-14,0,0,0,0,0.0020507,0,0,1e-10,0,0,0,0.76325,1,0,1.4,-0.0267,0
1,2.0336e-10,0,1.6226e-06,51411,6.937e-06,1.3874e-05,2.5157e-06,-2.2296e-12,1.8464e-13,6.3456e-10,2.0744e-14,0,0,0,0,5.2489e-06,0.042124,4.3575e-08,0,0,1,6.6699e-05,1.4,-0.026633,0
1,4.5918e-09,0,1.6226e-06,9542.6,6.9393e-06,1.3879e-05,5.5532e-06,-5.0949e-12,1.5102e-12,1.2641e-09,2.5953e-14,0,0,0,0,4.2574e-05,0.084122,1.6616e-07,0,0,1,0.0001334,1.4,-0.026567,0
1,4.6635e-08,0,1.6226e-06,4417.3,6.9426e-06,1.3885e-05,8.4202e-06,-8.53e-12,6.2818e-12,1.8594e-09,2.1778e-14,0,0,0,0,0.00017938,0.12539,3.764e-07,0,0,1,0.0002001,1.4,-0.0265,0
1,1.7732e-07,0,1.6226e-06,2631.8,6.9475e-06,1.3895e-05,9.492e-06,-1.2074e-11,1.4247e-11,2.3663e-09,8.0973e-15,0,0,0,0,0.00043289,0.16454,6.5214e-07,0,0,1,0.0002668,1.4,-0.026433,0
1,4.3039e-07,0,1.6226e-06,1831.1,6.9534e-06,1.3907e-05,8.8915e-06,-1.5383e-11,2.2923e-11,2.7457e-09,-1.4749e-14,0,0,0,0,0.00077348,0.19998,9.7927e-07,0,0,1,0.0003335,1.4,-0.026367,0
1,8.1816e-07,0,1.6226e-06,1418.1,6.9595e-06,1.3919e-05,7.6212e-06,-1.8286e-11,2.9003e-11,2.9914e-09,-4.2778e-14,0,0,0,0,0.0011299,0.22984,1.3484e-06,0,0,1,0.0004002,1.4,-0.0263,0
1,1.2883e-06,0,1.6226e-06,1152.5,6.968e-06,1.3936e-05,6.4458e-06,-2.0981e-11,3.2423e-11,3.1727e-09,-7.2778e-14,0,0,0,0,0.0014345,0.25457,1.7437e-06,0,0,1,0.0004669,1.4,-0.026233,0
1,1.7957e-06,0,1.6226e-06,954.52,6.9776e-06,1.3955e-05,5.4066e-06,-2.3574e-11,3.4649e-11,3.3216e-09,-1.0461e-13,0,0,0,0,0.0016958,0.27614,2.1514e-06,0,0,1,0.0005336,1.4,-0.026166,0
1,2.3323e-06,0,1.6226e-06,810.64,6.9882e-06,1.3976e-05,4.5403e-06,-2.608e-11,3.5941e-11,3.443e-09,-1.3855e-13,0,0,0,0,0.0019088,0.29465,2.5693e-06,0,0,1,0.0006003,1.4,-0.0261,0
1,2.9174e-06,0,1.6226e-06,707.28,6.9985e-06,1.3997e-05,3.8906e-06,-2.8482e-11,3.6472e-11,3.5363e-09,-1.7601e-13,0,0,0,0,0.0020697,0.31002,2.985e-06,0,0,1,0.000667,1.4,-0.026033,0
1,3.5154e-06,0,1.6226e-06,614.75,7.0087e-06,1.4017e-05,3.2987e-06,-3.0856e-11,3.6801e-11,3.6219e-09,-2.1441e-13,0,0,0,0,0.0022167,0.32455,3.4e-06,0,0,1,0.0007337,1.4,-0.025966,0
1,4.1652e-06,0,1.6226e-06,552.58,7.0169e-06,1.4034e-05,2.8998e-06,-3.3132e-11,3.6699e-11,3.685e-09,-2.584e-13,0,0,0,0,0.0023165,0.33611,3.7884e-06,0,0,1,0.0008004,1.4,-0.0259,0
1,4.817e-06,0,1.6226e-06,491.54,7.0251e-06,1.405e-05,2.5081e-06,-3.5405e-11,3.658e-11,3.7472e-09,-3.0259e-13,0,0,0,0,0.0024144,0.34756,4.1757e-06,0,0,1,0.0008671,1.4,-0.025833,0
1,5.5083e-06,0,1.6226e-06,448.62,7.0293e-06,1.4059e-05,2.2373e-06,-3.7599e-11,3.6311e-11,3.7947e-09,-3.5527e-13,0,0,0,0,0.0024819,0.35688,4.5133e-06,0,0,1,0.0009338,1.4,-0.025766,0
1,6.2039e-06,0,1.6226e-06,407.71,7.0331e-06,1.4066e-05,1.9801e-06,-3.9785e-11,3.6024e-11,3.8405e-09,-4.089e-13,0,0,0,0,0.002546,0.36597,4.8454e-06,0,0,1,0.0010005,1.4,-0.025699,0
1,6.9179e-06,0,1.6226e-06,374.27,7.0303e-06,1.4061e-05,1.7727e-06,-4.1928e-11,3.5723e-11,3.8796e-09,-4.7431e-13,0,0,0,0,0.0025973,0.37403,5.1298e-06,0,0,1,0.0010672,1.4,-0.025633,0
1,7.6457e-06,0,1.6226e-06,346.5,7.0226e-06,1.4045e-05,1.6033e-06,-4.4038e-11,3.541e-11,3.9137e-09,-5.4869e-13,0,0,0,0,0.0026389,0.3813,5.378e-06,0,0,1,0.0011339,1.4,-0.025566,0
1,8.3735e-06,0,1.6226e-06,318.73,7.0149e-06,1.403e-05,1.4338e-06,-4.6149e-11,3.5097e-11,3.9478e-09,-6.2306e-13,0,0,0,0,0.0026805,0.38858,5.6262e-06,0,0,1,0.0012006,1.4,-0.025499,0
1,9.1128e-06,0,1.6226e-06,299.08,7.0126e-06,1.4025e-05,1.3103e-06,-4.821e-11,3.4805e-11,3.9759e-09,-7.1419e-13,0,0,0,0,0.0027083,0.39457,5.7883e-06,0,0,1,0.0012673,1.4,-0.025433,0
1,9.8528e-06,0,1.6226e-06,279.95,7.0107e-06,1.4021e-05,1.1898e-06,-5.0268e-11,3.4515e-11,4.0036e-09,-8.064e-13,0,0,0,0,0.0027352,0.40047,5.9449e-06,0,0,1,0.001334,1.4,-0.025366,0
1,1.0593e-05,0,1.6226e-06,260.83,7.0087e-06,1.4017e-05,1.0693e-06,-5.2326e-11,3.4224e-11,4.0313e-09,-8.9862e-13,0,0,0,0,0.0027622,0.40637,6.1014e-06,0,0,1,0.0014007,1.4,-0.025299,0
1,1.1332e-05,0,1.6226e-06,247.32,7.0092e-06,1.4018e-05,9.7947e-07,-5.432e-11,3.3997e-11,4.0535e-09,-9.9784e-13,0,0,0,0,0.0027798,0.41125,6.1724e-06,0,0,1,0.0014674,1.4,-0.025233,0
1,1.207e-05,0,1.6226e-06,233.92,7.0097e-06,1.4019e-05,8.9028e-07,-5.6313e-11,3.3772e-11,4.0755e-09,-1.0972e-12,0,0,0,0,0.0027972,0.4161,6.2416e-06,0,0,1,0.0015341,1.4,-0.025166,0
1,1.2809e-05,0,1.6226e-06,220.53,7.0102e-06,1.402e-05,8.0109e-07,-5.8305e-11,3.3546e-11,4.0975e-09,-1.1966e-12,0,0,0,0,0.0028146,0.42095,6.3109e-06,0,0,1,0.0016008,1.4,-0.025099,0
1,1.3557e-05,0,1.6226e-06,209.66,7.0055e-06,1.4011e-05,7.2769e-07,-6.0237e-11,3.3352e-11,4.1155e-09,-1.3005e-12,0,0,0,0,0.0028279,0.42526,6.3163e-06,0,0,1,0.0016675,1.4,-0.025032,0
1,1.4309e-05,0,1.6226e-06,200.13,6.9979e-06,1.3996e-05,6.6261e-07,-6.2136e-11,3.3175e-11,4.1313e-09,-1.4068e-12,0,0,0,0,0.002839,0.42929,6.2881e-06,0,0,1,0.0017342,1.4,-0.024966,0
1,1.5062e-05,0,1.6226e-06,190.59,6.9904e-06,1.3981e-05,5.9753e-07,-6.4036e-11,3.2997e-11,4.1471e-09,-1.5131e-12,0,0,0,0,0.0028502,0.43332,6.2599e-06,0,0,1,0.0018009,1.4,-0.024899,0
1,1.5814e-05,0,1.6226e-06,181.05,6.9828e-06,1.3966e-05,5.3246e-07,-6.5935e-11,3.282e-11,4.1629e-09,-1.6194e-12,0,0,0,0,0.0028613,0.43734,6.2317e-06,0,0,1,0.0018676,1.4,-0.024832,0
1,1.6579e-05,0,1.6226e-06,173.98,6.9703e-06,1.3941e-05,4.8364e-07,-6.7737e-11,3.2703e-11,4.1741e-09,-1.7365e-12,0,0,0,0,0.0028686,0.44076,6.0951e-06,0,0,1,0.0019343,1.4,-0.024766,0
1,1.7345e-05,0,1.6226e-06,167.1,6.9574e-06,1.3915e-05,4.361e-07,-6.9532e-11,3.259e-11,4.1848e-09,-1.8544e-12,0,0,0,0,0.0028755,0.44413,5.9498e-06,0,0,1,0.002001,1.4,-0.024699,0
1,1.8111e-05,0,1.6226e-06,160.22,6.9444e-06,1.3889e-05,3.8857e-07,-7.1326e-11,3.2477e-11,4.1956e-09,-1.9723e-12,0,0,0,0,0.0028825,0.44749,5.8046e-06,0,0,1,0.0020677,1.4,-0.024632,0
1,1.8877e-05,0,1.6226e-06,153.33,6.9315e-06,1.3863e-05,3.4104e-07,-7.312e-11,3.2365e-11,4.2064e-09,-2.0902e-12,0,0,0,0,0.0028894,0.45086,5.6593e-06,0,0,1,0.0021344,1.4,-0.024566,0
1,1.9653e-05,0,1.6226e-06,147.86,6.9136e-06,1.3827e-05,3.0339e-07,-7.4826e-11,3.2306e-11,4.2139e-09,-2.2179e-12,0,0,0,0,0.0028943,0.45382,5.4113e-06,0,0,1,0.0022011,1.4,-0.024499,0
1,2.0432e-05,0,1.6226e-06,142.83,6.8942e-06,1.3788e-05,2.6891e-07,-7.6503e-11,3.2264e-11,4.2203e-09,-2.3486e-12,0,0,0,0,0.0028984,0.45665,5.1303e-06,0,0,1,0.0022678,1.4,-0.024432,0
1,2.1212e-05,0,1.6226e-06,137.8,6.8747e-06,1.3749e-05,2.3443e-07,-7.818e-11,3.2222e-11,4.2268e-09,-2.4794e-12,0,0,0,0,0.0029026,0.45948,4.8494e-06,0,0,1,0.0023345,1.4,-0.024365,0
1,2.1991e-05,0,1.6226e-06,132.78,6.8553e-06,1.3711e-05,1.9995e-07,-7.9857e-11,3.218e-11,4.2332e-09,-2.6101e-12,0,0,0,0,0.0029068,0.46231,4.5684e-06,0,0,1,0.0024012,1.4,-0.024299,0
1,2.2772e-05,0,1.6226e-06,127.89,6.835e-06,1.367e-05,1.6652e-07,-8.152e-11,3.2146e-11,4.2393e-09,-2.7424e-12,0,0,0,0,0.0029108,0.4651,4.2709e-06,0,0,1,0.0024679,1.4,-0.024232,0
1,2.3566e-05,0,1.6226e-06,124.18,6.8083e-06,1.3617e-05,1.4182e-07,-8.3069e-11,3.2177e-11,4.2421e-09,-2.8869e-12,0,0,0,0,0.0029131,0.46749,3.836e-06,0,0,1,0.0025346,1.4,-0.024165,0
1,2.436e-05,0,1.6226e-06,120.47,6.7816e-06,1.3563e-05,1.1712e-07,-8.4618e-11,3.2209e-11,4.2449e-09,-3.0315e-12,0,0,0,0,0.0029155,0.46988,3.4011e-06,0,0,1,0.0026013,1.4,-0.024099,0
1,2.5153e-05,0,1.6226e-06,116.75,6.7549e-06,1.351e-05,9.2423e-08,-8.6166e-11,3.224e-11,4.2476e-09,-3.176e-12,0,0,0,0,0.0029179,0.47227,2.9662e-06,0,0,1,0.002668,1.4,-0.024032,0
1,2.5947e-05,0,1.6226e-06,113.04,6.7282e-06,1.3456e-05,6.7724e-08,-8.7715e-11,3.2271e-11,4.2504e-09,-3.3206e-12,0,0,0,0,0.0029202,0.47466,2.5313e-06,0,0,1,0.0027347,1.4,-0.023965,0
1,2.6741e-05,0,1.6226e-06,109.33,6.7015e-06,1.3403e-05,4.3027e-08,-8.9264e-11,3.2302e-11,4.2532e-09,-3.4651e-12,0,0,0,0,0.0029226,0.47705,2.0964e-06,0,0,1,0.0028014,1.4,-0.023899,0
1,2.7548e-05,0,1.6226e-06,106.5,6.6674e-06,1.3335e-05,2.5148e-08,-9.0683e-11,3.24e-11,4.2531e-09,-3.6224e-12,0,0,0,0,0.0029239,0.4791,1.5018e-06,0,0,1,0.0028681,1.4,-0.023832,0
1,2.8357e-05,0,1.6226e-06,103.74,6.6327e-06,1.3265e-05,7.7315e-09,-9.2093e-11,3.2503e-11,4.2528e-09,-3.7806e-12,0,0,0,0,0.0029252,0.48113,8.9638e-07,0,0,1,0.0029348,1.4,-0.023765,0
1,2.9165e-05,0,1.6226e-06,100.97,6.5981e-06,1.3196e-05,-9.6851e-09,-9.3504e-11,3.2605e-11,4.2525e-09,-3.9387e-12,0,0,0,0,0.0029265,0.48316,2.9095e-07,0,0,1,0.0030015,1.4,-0.023698,0
1,2.9973e-05,0,1.6226e-06,98.205,6.5635e-06,1.3127e-05,-2.7101e-08,-9.4914e-11,3.2708e-11,4.2522e-09,-4.0969e-12,0,0,0,0,0.0029277,0.48519,-3.1447e-07,0,0,1,0.0030682,1.4,-0.023632,0
1,3.0782e-05,0,1.6226e-06,95.438,6.5288e-06,1.3058e-05,-4.4517e-08,-9.6325e-11,3.281e-11,4.2519e-09,-4.2551e-12,0,0,0,0,0.002929,0.48722,-9.1989e-07,0,0,1,0.0031349,1.4,-0.023565,0
1,3.1594e-05,0,1.6226e-06,92.813,6.4925e-06,1.2985e-05,-6.075e-08,-9.7706e-11,3.2927e-11,4.2511e-09,-4.416e-12,0,0,0,0,0.0029301,0.48919,-1.5633e-06,0,0,1,0.0032016,1.4,-0.023498,0
1,3.2417e-05,0,1.6226e-06,90.734,6.4494e-06,1.2899e-05,-7.2409e-08,-9.8971e-11,3.3096e-11,4.2483e-09,-4.5874e-12,0,0,0,0,0.0029308,0.49092,-2.3532e-06,0,0,1,0.0032683,1.4,-0.023432,0
1,3.3241e-05,0,1.6226e-06,88.654,6.4064e-06,1.2813e-05,-8.4068e-08,-1.0024e-10,3.3265e-11,4.2454e-09,-4.7588e-12,0,0,0,0,0.0029314,0.49264,-3.1431e-06,0,0,1,0.003335,1.4,-0.023365,0
1,3.4065e-05,0,1.6226e-06,86.575,6.3633e-06,1.2727e-05,-9.5726e-08,-1.015e-10,3.3434e-11,4.2426e-09,-4.9302e-12,0,0,0,0,0.002932,0.49437,-3.933e-06,0,0,1,0.0034017,1.4,-0.023298,0
1,3.4888e-05,0,1.6226e-06,84.496,6.3203e-06,1.2641e-05,-1.0739e-07,-1.0277e-10,3.3603e-11,4.2398e-09,-5.1016e-12,0,0,0,0,0.0029327,0.4961,-4.7229e-06,0,0,1,0.0034684,1.4,-0.023232,0
1,3.5712e-05,0,1.6226e-06,82.417,6.2772e-06,1.2554e-05,-1.1904e-07,-1.0403e-10,3.3772e-11,4.2369e-09,-5.273e-12,0,0,0,0,0.0029333,0.49783,-5.5128e-06,0,0,1,0.0035351,1.4,-0.023165,0
