"Density","Eddy_Viscosity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,8.6143e-17,0,1.6226e-06,1.1609e+06,-0.065802,-0.1316,0,9.4573e-11,0,0,0,0,0.017089,0,0,1e-10,0,0,0,1.905,1,0,-0.8,0,0
1,4.8951e-10,0,1.6226e-06,1.1451e+05,-0.064871,-0.12974,7.2731e-08,9.5215e-11,-2.2989e-16,2.2723e-11,1.1345e-13,0,0,0,0,2.4147e-05,0.20394,0.00039924,0,0,1,4e-05,-0.8,4e-05,0
1,5.9186e-09,0,1.6226e-06,30774,-0.065012,-0.13002,3.6534e-08,9.545e-11,-1.8724e-15,3.9373e-11,1.381e-13,0,0,0,0,0.00012503,0.36691,0.0011993,0,0,1,8e-05,-0.8,8e-05,0
1,2.6724e-08,0,1.6226e-06,14036,-0.064992,-0.12998,1.7192e-08,9.5609e-11,-6.5447e-15,5.2669e-11,2.2378e-13,0,0,0,0,0.00035229,0.49898,0.0018653,0,0,1,0.00012,-0.8,0.00012,0
1,8.9256e-08,0,1.6226e-06,9184.5,-0.065004,-0.13001,6.8672e-09,9.5795e-11,-1.5891e-14,6.2858e-11,2.8799e-13,0,0,0,0,0.00073751,0.601,0.0024636,0,0,1,0.00016,-0.8,0.00016,0
1,1.9556e-07,0,1.6226e-06,6514.8,-0.065014,-0.13003,9.1762e-10,9.5973e-11,-2.5092e-14,7.0956e-11,3.4693e-13,0,0,0,0,0.001139,0.68196,0.0029908,0,0,1,0.0002,-0.8,0.0002,0
1,3.2484e-07,0,1.6226e-06,4799,-0.065022,-0.13004,-2.8352e-09,9.6147e-11,-3.333e-14,7.7855e-11,4.02e-13,0,0,0,0,0.0015159,0.75073,0.003474,0,0,1,0.00024,-0.8,0.00024,0
1,4.831e-07,0,1.6226e-06,3827.8,-0.065031,-0.13006,-4.058e-09,9.6318e-11,-3.8236e-14,8.3e-11,4.4955e-13,0,0,0,0,0.0017823,0.80139,0.003886,0,0,1,0.00028,-0.8,0.00028,0
1,6.6483e-07,0,1.6226e-06,3043.3,-0.06504,-0.13008,-4.6215e-09,9.6488e-11,-4.1496e-14,8.7409e-11,4.9323e-13,0,0,0,0,0.0019858,0.84435,0.0042614,0,0,1,0.00032,-0.8,0.00032,0
1,8.7665e-07,0,1.6226e-06,2498,-0.06505,-0.1301,-4.3393e-09,9.6655e-11,-4.2646e-14,9.0874e-11,5.3195e-13,0,0,0,0,0.0021087,0.87745,0.0045899,0,0,1,0.00036,-0.8,0.00036,0
